event_id,cluster_start,cluster_end,peak_t,label,auto_confidence,context,face_visible_in_gaps,no_face_pct,peak_composite,sustained_pct,mean_arousal,n_veto_frames,veto_reasons,cluster_emotion,source,hs_dominant_at_peak,peak_hs_fear,peak_hs_surprise,peak_arousal,n_fear_frames,n_surprise_frames,n_angry_frames,n_happy_frames,n_sad_frames,n_contempt_frames,n_disgust_frames,n_neutral_frames,peak_startle,peak_tension,mp_ctx_tags,n_no_face_frames,duration_s
E01,3.567,3.733,3.567,,LOW,,,0.0,0.0944,0.0,-0.0027,0,---,Surprise,HS_SURP,Surprise,0.0339,0.7193,0.0888,0,5,0,0,0,0,0,1,0.151,0.1061,---,0,0.17
E02,8.500,8.800,8.800,,LOW,,,0.0,0.1757,16.8,0.0167,0,---,Surprise,MP+HS_SURP,Surprise,0.2728,0.4275,0.1364,0,9,0,0,0,0,0,1,4.549,0.2348,STRESS,0,0.30
E03,11.100,11.467,11.400,,LOW,,,0.0,0.2394,6.8,-0.0107,0,---,Surprise,HS_SURP,Surprise,0.1204,0.5788,0.3346,0,6,0,0,0,0,0,6,2.049,0.1075,---,0,0.37
E04,21.033,28.900,21.967,,HIGH,,,0.0,0.7508,86.3,0.3276,0,---,Fear,MP+HS,Surprise,0.4392,0.9221,1.1586,4,159,51,0,0,0,0,23,3.485,0.1414,"CONC,STRESS",0,7.87
E05,32.900,49.200,35.667,,HIGH,,,0.0,0.4316,52.5,0.1849,0,---,Fear,MP+HS,Surprise,0.6295,0.7432,0.6693,29,334,0,0,0,0,0,127,12.027,0.3059,"CONC,JOY,STRESS",0,16.30
E06,56.700,57.667,57.000,,HIGH,,,0.0,0.3246,45.2,0.1776,0,---,Surprise,HS_SURP,Surprise,0.1347,0.6276,0.4577,0,24,2,0,0,0,0,4,1.683,0.1353,---,0,0.97
E07,58.700,69.500,59.367,,HIGH,,,0.0,0.3601,50.1,0.1729,0,---,Surprise,MP+HS_SURP,Surprise,0.2610,0.7905,0.5273,0,218,2,4,0,0,0,101,6.447,0.2494,"CONC,STRESS",0,10.80
E08,73.833,74.467,73.833,,LOW,,,0.0,0.1028,13.0,0.0543,0,---,Surprise,HS_SURP,Surprise,0.1568,0.4518,0.1111,0,9,0,0,0,0,0,11,0.379,0.0903,---,0,0.63
E09,75.767,76.933,76.000,,LOW,,,0.0,0.3317,15.7,0.0734,0,---,Surprise,MP+HS_SURP,Surprise,0.1363,0.7604,0.4878,0,20,5,2,0,0,0,9,3.741,0.1557,"CONC,STRESS",0,1.17
E10,82.300,82.600,82.467,,LOW,,,0.0,0.1905,11.1,0.0827,0,---,Surprise,HS_SURP,Surprise,0.1168,0.6337,0.2635,0,9,0,0,0,0,0,1,0.389,0.0823,---,0,0.30
E11,89.233,89.500,89.433,,HIGH,,,0.0,0.4919,74.6,0.2955,9,MP:JOY/HS:Fear,Fear,HS_FEAR,Fear,0.5252,0.2957,0.8199,9,0,0,0,0,0,0,0,0.467,0.0000,JOY,0,0.27
E12,90.533,95.100,94.700,,HIGH,,,0.0,0.4493,84.3,0.3230,2,MP:JOY/HS:Fear,Fear,HS_FEAR,Fear,0.5193,0.5595,0.7488,77,33,8,6,0,0,14,0,1.837,0.1230,"CONC,JOY",0,4.57
E13,96.733,98.233,96.733,,HIGH,,,0.0,0.3153,44.2,0.1356,5,MP:STRESS/HS:Happy,Fear,MP+HS,Fear,0.5858,0.2763,0.3614,6,0,0,9,0,0,0,31,16.051,0.2838,"JOY,STRESS",0,1.50
E14,100.767,101.633,100.933,,LOW,,,29.6,0.2201,8.2,0.0189,0,---,Surprise,MP+HS_SURP,Surprise,0.2347,0.3943,0.2299,0,7,0,0,0,0,0,20,9.358,0.3040,"JOY,STRESS",8,0.87
E15,155.833,157.533,156.100,,LOW,,,21.2,0.4265,20.3,-0.0010,0,---,Fear,MP+HS,Fear,0.6224,0.3928,0.5556,21,12,0,0,0,0,0,19,20.724,0.3192,STRESS,11,1.70
FN_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
