event_id,event_start_frame,event_end_frame,gate_a_frame,duration_frames,duration_seconds,peak_composite,mean_composite,onset_slope,peak_hs_fear,peak_hs_surprise,peak_mp_tension
E01,1096,1175,1096,80,2.667,0.3715,0.34,0.016599,0.0,0.0,0.4606
E02,1317,1332,1317,16,0.533,0.3982,0.3526,0.030082,0.0,0.0,0.3877
E03,2056,2095,2056,40,1.333,0.4589,0.3329,0.035688,0.0,0.0,0.4764
E04,2159,2178,2159,20,0.667,0.4513,0.4187,0.041542,0.0,0.0,0.4646
E05,2342,2360,2342,19,0.633,0.5189,0.4703,0.042024,0.0,0.0,0.5178
E06,2973,3025,2973,53,1.767,0.4391,0.4018,0.02586,0.0,0.0,0.4723
E07,4278,4305,4278,28,0.933,0.4651,0.4366,0.04013,0.0,0.0,0.5099
E08,4482,4504,4482,23,0.767,0.3939,0.3383,0.01672,0.0,0.0,0.4958
E09,5368,5385,5368,18,0.6,0.3832,0.3445,0.022112,0.0,0.0,0.4363
E10,6265,6284,6265,20,0.667,0.47,0.3274,0.03922,0.0,0.0,0.47
E11,6335,6371,6335,37,1.233,0.4487,0.3579,0.019337,0.0,0.0,0.4487
E12,6766,6782,6766,17,0.567,0.3776,0.336,0.023674,0.0,0.0,0.3886
E13,7086,7135,7086,50,1.667,0.4459,0.4006,0.037323,0.0,0.0,0.4573
E14,9831,9866,9831,36,1.2,0.3346,0.3121,0.025731,0.0,0.0,0.3716
E15,11175,11194,11175,20,0.667,0.3449,0.3167,0.023238,0.0,0.0,0.3598
E16,12216,12233,12216,18,0.6,0.4684,0.3889,0.045616,0.0,0.0,0.4684
E17,12441,12466,12441,26,0.867,0.4583,0.3661,0.029275,0.0,0.0,0.4882
E18,12894,12967,12894,74,2.467,0.4731,0.4471,0.027168,0.0,0.0,0.5099
E19,13920,13940,13920,21,0.7,0.3237,0.3066,0.023151,0.0,0.0,0.3327
E20,17085,17100,17085,16,0.533,0.4924,0.4515,0.046257,0.0,0.0,0.5058
E21,17472,17493,17472,22,0.733,0.4099,0.3332,0.025337,0.0,0.0,0.4303
E22,17748,17765,17748,18,0.6,0.4032,0.3567,0.015856,0.0,0.0,0.4308
E23,19089,19116,19089,28,0.933,0.4555,0.3546,0.045039,0.0,0.0,0.4555
E24,23914,23957,23914,44,1.467,0.357,0.3185,0.026981,0.0,0.0,0.357
